URI,Title,RecordId,Authority,Coin Type URI,Date on Object,Degree,Deity,Denomination,Department,Diameter,Dynasty,Engraver,Era,Findspot,Findspot URI,Issuer,Maker,Manufacture,Material,Mint,Obverse Legend,Obverse Type,Object Type,Portrait,Reference,Region,Reverse Legend,Reverse Type,Weight,Year,Thumbnail_obv,Thumbnail_rev,Date Record Modified
http://numismatics.org/collection/1944.100.73346,"Clay Tablet, Mesopotamia, 2100 BC - 2000 BC. 1944.100.73346",1944.100.73346,"","","","","","",Islamic,"","","","","","","","",manuscript,Clay,"","","",Tablet,"","",Mesopotamia,"","","",-2100|-2000,http://numismatics.org/collectionimages/19001949/1944/1944.100.73346.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.73346.rev.width175.jpg,2016-10-21T21:57:27Z
http://numismatics.org/collection/1946.134.1,"Glass Weight, NE Africa, 953 - 975. 1946.134.1",1946.134.1,al-Mu`izz,"","","","","",Islamic,15.0,Fatimid glass,"","","","","","","",Glass,"","","",Weight,"",B.14,NE Africa,"","",0.75,953|975,http://numismatics.org/collectionimages/19001949/1946/1946.134.1.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1946/1946.134.1.rev.width175.jpg,2016-10-21T22:00:38Z
http://numismatics.org/collection/1946.134.2,"Glass Weight, NE Africa, 975 - 996. 1946.134.2",1946.134.2,al-`Aziz,"","","","","",Islamic,25.0,Fatimid glass,"","","","","","","",Glass,"","","",Weight,"",B.49,NE Africa,"","",5.42,975|996,http://numismatics.org/collectionimages/19001949/1946/1946.134.2.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1946/1946.134.2.rev.width175.jpg,2016-10-21T22:00:38Z
http://numismatics.org/collection/1944.100.52684,"Glass Coin weight, NE Africa, 953 - 975. 1944.100.52684",1944.100.52684,al-Mu`izz,"","","","","",Islamic,22.0,Fatimid glass,"","","","","","","",Glass,"","","",Coin weight,"",B.24,NE Africa,"","",2.76,953|975,http://numismatics.org/collectionimages/19001949/1944/1944.100.52684.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.52684.rev.width175.jpg,2016-10-21T21:57:03Z
http://numismatics.org/collection/1944.100.52686,"Glass Coin weight, NE Africa, 975 - 996. 1944.100.52686",1944.100.52686,al-`Aziz,"","","","","",Islamic,25.0,Fatimid glass,"","","","","","","",Glass,"","","",Coin weight,"",B.38,NE Africa,"","",4.16,975|996,http://numismatics.org/collectionimages/19001949/1944/1944.100.52686.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.52686.rev.width175.jpg,2016-10-21T21:57:03Z
http://numismatics.org/collection/1923.150.167,"Glass Weight, NE Africa, 953 - 975. 1923.150.167",1923.150.167,al-Mu`izz,"","","","","",Islamic,18.0,Fatimid glass,"","","","","","","",Glass,"","","",Weight,"",B.16,NE Africa,"","",1.46,953|975,http://numismatics.org/collectionimages/19001949/1923/1923.150.167.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1923/1923.150.167.rev.width175.jpg,2016-10-21T21:48:28Z
http://numismatics.org/collection/1923.150.168,"Glass Weight, NE Africa, 953 - 975. 1923.150.168",1923.150.168,al-Mu`izz,"","","","","",Islamic,14.0,Fatimid glass,"","","","","","","",Glass,"","","",Weight,"",B.17,NE Africa,"","",0.76,953|975,http://numismatics.org/collectionimages/19001949/1923/1923.150.168.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1923/1923.150.168.rev.width175.jpg,2016-10-21T21:48:28Z
http://numismatics.org/collection/1923.150.169,"Glass Weight, NE Africa, 975 - 996. 1923.150.169",1923.150.169,al-`Aziz,"","","","","",Islamic,27.0,Fatimid glass,"","","","","","","",Glass,"","","",Weight,"",B.29,NE Africa,"","",3.66,975|996,http://numismatics.org/collectionimages/19001949/1923/1923.150.169.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1923/1923.150.169.rev.width175.jpg,2016-10-21T21:48:28Z
http://numismatics.org/collection/1931.152.8,"Glass Weight, NE Africa, 975 - 996. 1931.152.8",1931.152.8,al-`Aziz,"","","","","",Islamic,26.0,Fatimid glass,"","","","","","","",Glass,"","","",Weight,"",B.43,NE Africa,"","",4.16,975|996,http://numismatics.org/collectionimages/19001949/1931/1931.152.8.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1931/1931.152.8.rev.width175.jpg,2016-10-21T21:48:40Z
http://numismatics.org/collection/1933.48.1,"Glass Weight, NE Africa, 975 - 996. 1933.48.1",1933.48.1,al-`Aziz,"","","","","",Islamic,26.0,Fatimid glass,"","","","","","","",Glass,"","","",Weight,"",B.44,NE Africa,"","",4.2,975|996,http://numismatics.org/collectionimages/19001949/1933/1933.48.1.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1933/1933.48.1.rev.width175.jpg,2016-10-21T21:48:42Z
