Handle,Call number,Accession number,Creator,Title,Variant Titles,Place of origin,Publisher,"Date, created","Date, depicted","Date, key",Physical description,Materials,Language,Language of cataloging,Notes,Abstract,Associated Names,"Subject, topic","Subject, geographic","Subject, geographic code",Period/Style,Culture,Scale,Projection,Coordinates,Genre,Type of resource,Yale Collection,Original Repository,Access Restrictions,Rights,OrbisBibID,Orbis Barcode,Finding Aid,Related Exhibit or Resource,Classroom use,"Part of, group","Note, extended",Handle,_Filename,Job Information,Gallery,Citation,Digital format,Donor,Vendor,Previous Call Number,Series,Fund Code,Price,Memoranda,Order Type,Date to Cataloging,Date returned to Beinecke,Monograph Titles,Monograph Volumes,Serial Titles,Serial Volumes,Ephemera,Manuscript items,Manuscript Linear Feet,Non-book format,Accession Material,Accession auto number,ISBN,ISSN,Item Permission ,Keywords,Studio Notes,"Subject, local",Digital Collection,Order Type,"Date, Created ISO",Other Dates,Tribe,Events,Placeholder,Content Type,"Coordinates, West bounding","Coordinates, East bounding","Coordinates, North bounding","Coordinates, South bounding","Subject, hierarchical geographic -- Country","Subject, hierarchical geographic -- State","Subject, hierarchical geographic -- County","Subject, hierarchical geographic -- City","Subject, hierarchical geographic -- City Section",Copyright Date,Purpose,Related Link,Funding source,EAD Snippet,Complex Hierarchy,MDfive Checksum,Breadcrumb trail,int Start Year,int End Year,Number of Scans,HYDRA - embed tag,HYDRA - embed tag note,FindIT View Type
http://hdl.handle.net/10079/digcoll/177714,Classics +,LN1501,"Albubather |Palatiis, A. Laurens de",[Liber Navitatus ... de Arabico in Latinum translatus] Et lentiloquium diui hermetis. [Preface by A. Laurens de Palatiis],,Venetiis,per Jo. Baptista Sess,1501,,,28 numb. leaves. 30cm.,,Latin ,,Initials of Fielding H. Garrison on front end-paper.,,,"Medicine, Arab ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",4268225,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/4268225,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1501-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/21035,Manuscript Arabic 18,KNMT1670,"Anṭākī, Dāʾūd ibn ʻUmar, d. 1599|Aṣfahānī, Muḥammad Ṭāhir|أصفهاني، محمد طاهر |أنطاكي، داؤد بن عمر، d. 1599 ",Kitāb al-Nuzhah al-mubhijah fi tashḥīdh al-adhhān wa-taʻdīl al-amzijah / taʾlīf Dāwūd ibn ʻUmar al-Anṭākī.,Nuzhah al-mubhijah fi tashḥīdh al-adhhān wa-taʻdīl al-amzijah|النزهة المبهجة في تشحيذ الأذهان وتعديل الأمزجة / تأليف داود الأنطاكي.|نزهة المبهجة في تشحيذ الأذهان وتعديل الأمزجة,S.l.,s.n.,1081 [1670],,,[164] leaves ; 23 cm.,,Arabic ,,"""Ākhir mā wujida fī nuskhat al-muṣannif. Wa-qad waqaʻa al-farāgh min hādhihi al-nuskhah al-sharīfah fī yawm al-Aḥad, sādis ʻishrīn shahr Rajab al-Murjib, min shuhur sanat iḥdá wa-thamānīn baʻda al-alf min al-Hijrah al-Madanīyah, ʻalá muhājirihā alf alf taḥīyah wa-al-salām, ʻalá yad al-ʻabd Muḥammad Ṭāhir al-Aṣfahānī""--Colophon.|Arabic.|In neat, small naskh. The 164 folios measure 15x23 cm. The written surface measure 9x17.5 cm., 24 lines to page; few marginalia; the catchwords on bottom of page are sometimes cropped; the paper is beige and glazed. Leather binding of European origin.|Manuscript.",,,"Medicine, Arab |Medicine--Early works to 1800 |Therapeutics--Early works to 1800 ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",6725106,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/6725106,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1670-00-00T00:00:00Z,,,,,Archives or Manuscripts ,,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/21378,Manuscript Arabic 23|R128.3 .I3 1344,KAQ17xx,"Ibn al-Nafīs, ʻAlī ibn Abī al-Ḥazm, 1210 or 1211-1288 |Musayyijī, al-Muhadhdhab, active 1344|ابن النفيس، علي بن أبي الحزم، 1210 or 1211-1288|مسيجي، المهذب، ناشط 1344 ","al-Mūjaz fī al-ṭibb, [1344] / lil-Shaykh Abī al-Ḥasan ʻAlāʼ al-Dīn ʻAlī ibn Abī al-Ḥazm al-Qurashī al-Mutaṭabbib.","Hādhā kitāb ʻulum al-ṭibb min jamīʻ al-aṣnāf, al-amrāḍ, al-ʻilāj ʻan al-ḥukamāʼ al-qudamāʼ|العنوان على الورقة 1أ:|الموجز في الطب، [1344] / للشيخ أبي الحسن علاء الدين علي بن أبي الحزم القرشي المتطبب.",,,ca. 1700,,,1 volume ([108] leaves) ; 25 cm,,Arabic ,,"13 x 24.5 cm ; written surface: 8.5 x 18.5 cm, 25 lines per page|Colophon: ""Tamma al-kitāb bi-ḥamd Allāh wa-mannih. ʻAllaqahu li-nafsih wa-li-man shāʼa Allāh baʻdah al-ʻabd al-faqīr ilá raḥmat Allāh wa-ruḍwānih al-Muhadhdhab al-Musayyijī ʻafā Allāh ʻanhu wa-raḥima man naẓara fīhi wa-ṣafaḥa ʻan zalalih wa-daʻā la-hu bi-al-maghfirah. Āmīn. Waqaʻa al-taḥrīr min taʻlīqihi yawm al-Ithnayn, thānī ʻishrīn shahr Rajab al-mubārak sanat 745 [Monday, 29 November, 1344]. Balagha muqābalatan wa-taṣḥīḥan""|In Arabic.|In good naskhī script; in black ink, on yellowish paper, with headings and keywords in red; catchwords.|In loose dark brown leather binding; a substitute cover.|Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. Qāla al-Shaykh al-Imām al-ḥabr qudwat al-ʻulamāʼ wa-raʼīs al-fuḍalāʼ farīd dahrihi wa-waḥīd ʻaṣrihi Abū al-Ḥasan ʻAlāʼ al-Dīn ʻAlī ibn Abī al-Ḥazm al-Qurashī al-Mutaṭabbib qaddasa Allāh rūḥahu: qad rattabtu hādhā al-kitāb ʻalá arbaʻ funūn. al-Fann al-awwal fī qawāʻid juzʼay al-ṭibb, aʻnī ʻilmahu wa-ʻamalah bi-qawl kullī ...""|On leaf 1a an ownership note in the name of Anṭūn walad Jirjis.|Some collations and commentaries on the margins.|البداية: ""بسم الله الرحمن الرحيم. قال الشيخ الإمام الحبر قدوة العلماء ورئيس الفضلاء فريد دهره ووحيد عصره أبو الحسن علاء الدين علي بن أبي الحزم القرشي المتطبب قدس الله روحه: قد رتبت هذا الكتاب على أربع فنون. الفن الأول في قواعد جزئي الطب، أعني علمه وعمله بقول كلي ...""|النهاية: ""تم الكتاب بحمد الله ومنه. علقه لنفسه ولمن شاء الله بعدة العبد الفقير إلى رحمة الله ورضوانه المهذب المسيجي عفا الله عنه ورحم من نظر فيه وصفح عن زلله ودعا له بالمغفرة. آمين. وقع التحرير من تعليقه يوم الاثنين، ثاني عشرين شهر رجب المبارك سنة 745 [29 تشرين الثاني/نوفمبر، 1344]. بلغ مقابلةً وتصحيحًا""","al-Mūjaz fī al-ṭibb, a compendium of medicine by Ibn al-Nafīs, Abū al-Ḥasan ʻAlāʼ al-Dīn ʻAlī ibn Abī al-Ḥazm al-Qurashī al-Mutaṭabbib (1210 or 1211-1288), an illustrious and prolific scholar of the 13th century and a prominent physician and a practical and experimental medical researcher who refused to accept the previous medical opinions of Greek and Muslim scholars (including Galen and Avicenna) without proof and to whom is attributed the discovery of the micro cardiovascular system. He was born in Damascus, Syria but lived and worked in Cairo, Egypt. He depended in his treatment of illnesses mostly on nutritious foods rather than medications. The present manuscript is an abridgement and explantion of Avicenna's al-Qānūn fī al-ṭibb ""Canon of medicine"" (excluding the chapters on anatomy and physiology) based on his own observations and experimentations. Copied by al-Muhadhdhab al-Musayyijī on Monday 22 Rajab, 745 (29 November, 1344). Place of copying not mentioned, probably Egypt.","Ibn al-Nafīs, ʻAlī ibn Abī al-Ḥazm,--1210 or 1211-1288 |ابن النفيس، علي بن أبي الحزم،--1210 or 1211-1288 |ابن سينا،--980-1037.--قانون في الطب ","Arabic manuscripts |Medicine, Arab ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",11419093,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/11419093,,,,"ʻAlī  ibn Abī al-Ḥazm ibn al-Nafīs, al-Mūjaz fī al-ṭibb. General Collection, Medical/Historical Library, Yale University.",,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1700-00-00T00:00:00Z,,,,,Archives or Manuscripts ,,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/22466,Incunabula +A-1408 (Goff),LTRM1491,"Averroës, 1126-1198. Colliget|Ibn Zuhr, ʻAbd al-Malik ibn Abī al-ʻAlāʼ, d. 1162 |Jacobus Hebraeus, 13th cent|Magister Patavinus, 13th cent","Liber Teisir, sive Rectificatio medicationis et regiminis : antidotarium.",Rectificatio medicationis et regiminis,Venice,"Joannes and Gregorius de Gregoriis, de Forlivio",4 January 1490-1491,,,"[4], 40, 63, [1] leaves ; 32 cm.",,Latin ,,"Includes Averroes: Colliget.|Translated from Arabic into Hebrew by Jacobus Hebraeus; into Latin by Paravicius.|Yale Med copy from Ulrich Ellenbog, who signed, annotated, and decorated the text with some red and blue letters.|Yale Med copy has contemporary German binding, K109 Salve-Meister, Memmingen. Described by Scott Husby, 2010.",,"Ellenbog, Ulrich,--ca. 1435-1499.--Ownership ","Incunabula in Yale Library |Materia medica |Medicine, Arab |Therapeutics--Early works to 1800 ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",4021741,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/4021741,,,,Hain 2186|Klebs 127.1|Pellechet 1652|Proctor 4513,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1491-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/22700,Incunabula +M-519 (Goff),ILDC1487,"Ibn Māsawayh, Yūḥannā, d. 857 or 8 ","Il libro della consolatione delle medicine, semplici, solutive.",Opera medicinalia. Italian.,Venice,Bartholomaeus de Zanis,31 July 1487,,,[99] leaves ; 30 cm.,,Italian ,,From the collection of Harvey Cushing.,,"Cushing, Harvey,--1869-1939.--Ownership ","Incunabula in Yale Library |Medicine, Arab ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",3836033,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/3836033,,,,Hain-Copinger 11115|Klebs 681.3,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1487-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/22923,Incunabula +R-183 (Goff),CSNA1490,"Rāzī, Abū Bakr Muḥammad ibn Zakarīyā, 865?-925?|Syllanus de Nigris, fl. 1398|Tossignano, Pietro da, d. 1401. Receptae super nonum ad Almansorem, 1490 ",Liber nonus ad Almansorem (cum expositione Silani de Nigris).,,Venice,[Bonetus Locatellus] for Octavianus Scotus,10 April 1490,,,[90] leaves ; 32 cm.,,Latin ,,"""Receptae super nonum ad Almansorem"", by Petrus de Tussignano: leaves 74v-89.|Illuminated border of flowers and ornaments on leaf a2, two initials painted in several colors, and letters of red and blue.|Signatures: a8-i8, k6-m6.",,,"Incunabula in Yale Library |Medicine, Arab |Medicine, Medieval |Smallpox ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",4194994,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/4194994,,,,Hain-Copinger 13896*|Klebs 946.3|Proctor 5022,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1490-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/23114,Incunabula ++F-46 (Goff),SSMG1491,"Falcucci, Niccolò, d. 1411 or 12 ",Sermo sextus de membris generationis.,De membris generationis|Sermones medicinales,Venice,"Bernardinus Stagninus, de Tridino",5 August 1491,,,59 leaves ; 43 cm.,,Latin ,,Also published within the author's Sermones medicinales septem.|Includes letters in red and blue.,,,"Incunabula in Yale Library |Medicine, Arab |Medicine, Medieval ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",4054002,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/4054002,,,,Hain 11768*|Klebs 389.2|Pellechet 4737,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1491-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/23262,Incunabula +M-520 (Goff),LCMS1492,"Ibn Māsawayh, Yūḥannā, d. 857 or 8 ",Il libro della consolatione delle medicine semplici solutive.,Opera medicinalia. Italian,Florence,Bartolommeo di Libri,about 1492,,,[228] leaves ; 30 cm.,,Italian ,,"Includes index.|Yale Med copy has contemporary Italian binding. Described by Scott Husby, 2010.|Yale Med copy imperfect: leaf 1 torn (only ""Mesue Vulgare"" visible); leaves 2-7 wanting, supplied from another volume; leaf 8 in both original and supplied copy.",,"Cushing, Harvey,--1869-1939.--Ownership ","Incunabula in Yale Library |Medicine, Arab ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",3836287,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/3836287,,,,Hain-Copinger-Reichling 11113|Klebs 681.2|Proctor 6283,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1492-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/23749,Incunabula +F-118 (Goff),ESTU1494,"Ferrari de Gradi, Giovanni Matteo, d. 1472",Expositiones super tractatum de urinis : et fen XXII tertii Canonis Avicennae.,,Milan,"Jacobus de Sancto Nazario, de Ripa",17 November 1494,,,[103] leaves ; 31 cm.,,Latin ,,,,"Cushing, Harvey,--1869-1939.--Ownership ","Incunabula in Yale Library |Medicine, Arab |Medicine, Medieval |Urine--Analysis ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",4050883,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/4050883,,,,Hain 7840*|Klebs 394.1|Pellechet 5286,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1494-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
http://hdl.handle.net/10079/digcoll/23967,Incunabula ++H-546a (Goff),ESQF1496,"Benzi, Ugo, 1376-1439 |Desparts, Jacques, ca. 1380-1458",Expositio super quarta fen primi Canonis Avicennae.,Ugonis Senensis super quarta fen primi Avicennae,Papie [Padua],per Franciscus Gyrardeḡuz,29 January 1496,,,"[1], lix, [1] leaves ; 42 cm.",,Latin ,,"""The printer of the first edition (Klebs 997.1) combined Hugo Senensis' partial commentary (on chaps. 1-16) with the latter half (chaps. 17-31) of the complete but brief commentary of Marsilius de Sancta Sophia to make this composite work"": c.f. Goff number H-546; Yale Med copy is a variant.|Half title, printed in red, reads: Ugonis Senes̄is super quarta fen primi Avi. preclara expositio: cu ̄annotatoīb ́Jacobi de Partib.́",,,"Incunabula in Yale Library |Medicine, Arab |Medicine, Medieval ",,n-cnh-- ,,,,,,,text ,Cushing/Whitney Medical Library ,,,"The use of this image may be subject to the copyright law of the United States (Title 17, United States Code) or to site license or other rights management terms and conditions. The person using the image is liable for any infringement ",4075729,,,,,"Arcadia Fund, 2013 ",,http://hdl.handle.net/10079/bibid/4075729,,,,Hain 9019|Klebs 997.4,,,,,,,,,,,,,,,,,,,,,,,,Open Access ,,,,Arabic and Persian Medical Books and Manuscripts ,,1496-00-00T00:00:00Z,,,,,"Books, Journals & Pamphlets ",,,,,,,,,,,,,Arcadia Fund ,,,,,,,,,,
