"Object Number","Is Highlight","Is Public Domain","Object ID","Department","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Metadata Date","Repository"
"74.51.4366","False","True",321381,"Ancient Near Eastern Art","Stamp seal","Quasi-pyramidal seal","Cypriot","Late Cypriot III","","","","","","","","","","","","","ca. 12th–11th century B.C.",-1200,-1000,"Steatite, gray brown","Seal Face: 1.19 x 1.68 cm
Height: 1.78 cm
String Hole: 0.4 cm","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus (?)","","","","","","Stone-Stamp Seals","","http://www.metmuseum.org/art/collection/search/321381","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4367","False","True",321382,"Ancient Near Eastern Art","Stamp seal","Loop-handled conoid seal","Cypriot","Late Cypriot III (?)","","","","","","","","","","","","","ca. 12th–11th century B.C. (?)",-1200,-1000,"Steatite, black","Seal Face: 2.78 x 2.49 cm
Height: 2.5 cm
String Hole: 0.4-.5 cm","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Stamp Seals","","http://www.metmuseum.org/art/collection/search/321382","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4368","False","True",321383,"Ancient Near Eastern Art","Stamp seal","Stamp seal","","","","","","","","","","","","","","","ca. early 1st millennium B.C.",-900,-600,"Faience","0.47 x 0.79 in. (1.19 x 2.01 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Mesopotamia","","","","","","Faience-Stamp Seals","","http://www.metmuseum.org/art/collection/search/321383","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4369","False","True",321384,"Ancient Near Eastern Art","Stamp seal","Stamp seal","Cypriot","Late Cypriot III (?)","","","","","","","","","","","","","ca. 12th–11th century B.C. (?)",-1200,-1000,"green black steatite","Seal Face: 1.87 x 1.59 cm
Height: 1.59 cm
String Hole: 0.25 -.3 cm","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Stamp Seals","","http://www.metmuseum.org/art/collection/search/321384","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4370","False","True",321385,"Ancient Near Eastern Art","Stamp seal","Conoid seal","","Late Cypriot III-Cypro-Geometric III","","","","","","","","","","","","","ca. 12th–9th century B.C.",-1200,-800,"Steatite, brown","Seal Face; 1.61 x 1.46 cm
Height: 1.35 cm
String Hole: 0.25 cm","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus (?)","","","","","","Stone-Stamp Seals","","http://www.metmuseum.org/art/collection/search/321385","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4371","False","True",321386,"Ancient Near Eastern Art","Stamp seal","Conoid seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite, light brown","Seal Face: 1.72 x 1.26 cm
Height: 1.48 cm
String Hole: 0.4 cm","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Stamp Seals","","http://www.metmuseum.org/art/collection/search/321386","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4372","False","True",321387,"Ancient Near Eastern Art","Stamp seal","Conoid seal","","Late Cypriot III-Cypro-Geometric III","","","","","","","","","","","","","ca. 12th–9th century B.C.",-1200,-800,"Steatite, brown","Seal Face; 1.93 x 1.42 cm
Height: 1.41 cm
String Hole: 0.4 cm","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Stamp Seals","","http://www.metmuseum.org/art/collection/search/321387","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4313","False","True",321388,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: lion and sphinx over an antelope","Cypriot","Late Cypriot II","","","","","","","","","","","","","ca. 14th century B.C.",-1400,-1300,"Black-grey steatite","0.83 in. (2.11 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321388","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4314","False","True",321389,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 16th–13th century B.C.",-1600,-1200,"Hematite","0.91 in. (2.31 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321389","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4315","False","True",321390,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 14th–12th century B.C.",-1400,-1100,"Hematite","0.96 in. (2.44 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals-Inscribed","","http://www.metmuseum.org/art/collection/search/321390","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4316","False","True",321391,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: female figure, ibex, lion","Cypriot","Late Cypriot II","","","","","","","","","","","","","ca. 14th–13th century B.C.",-1400,-1200,"Black-grey hematite","0.98 in. (2.49 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321391","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4317","False","True",321392,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 14th–12th century B.C.",-1400,-1100,"Hematite","0.96 in. (2.44 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321392","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4318","False","True",321393,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 14th–12th century B.C.",-1400,-1100,"Hematite","1.12 in. (2.84 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321393","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4319","False","True",321394,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Hematite","0.75 in. (1.91 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321394","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4320","False","True",321395,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.79 in. (2.01 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321395","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4321","False","True",321396,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Stone","0.94 in. (2.39 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321396","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4322","False","True",321397,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.96 in. (2.44 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321397","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
